Street,Event,Datetime
Weld St,Trip,2012-02-08 12:12:23
Rhoda St,Trip,2012-02-08 12:12:23
W Roxbury Pky,Trip,2012-02-08 12:12:23
Belgrade Ave,Trip,2012-02-08 12:12:23
Beech St,Trip,2012-02-08 12:12:23
Anawan Ave,Trip,2012-02-08 12:12:23
Colberg Ave,Trip,2012-02-08 12:12:23
Roslindale Ave,Trip,2012-02-08 12:12:23
Nikisch Ave,Trip,2012-02-08 12:12:23
Liszt St,Trip,2012-02-08 12:12:23
Schubert St,Trip,2012-02-08 12:12:23
Washington St,Trip,2012-02-08 12:12:23
Blue Ledge Dr,Trip,2012-02-08 12:12:23
Enneking Pky,Trip,2012-02-08 12:12:23
Turtle Pond Pky,Trip,2012-02-08 12:12:23
Kovey Rd,Trip,2012-02-08 12:12:23
Vernon St,Trip,2012-02-08 12:12:23
Alvarado Ave,Trip,2012-02-08 12:12:23
Fairview Ave,Trip,2012-02-08 12:12:23
River St,Trip,2012-02-08 12:12:23
Imbaro Rd,Trip,2012-02-08 12:12:23
Readville St,Trip,2012-02-08 12:12:23
Waterloo St,Trip,2012-02-08 12:12:23
Neponset Valley Pky,Trip,2012-02-08 12:12:23
Chesterfield St,Trip,2012-02-08 12:12:23
Milton St,Trip,2012-02-08 12:12:23
Hyde Park Ave,Trip,2012-02-08 12:12:23
Wolcott Sq,Trip,2012-02-08 12:12:23
Truman Pky,Trip,2012-02-08 12:12:23
March Ave,Trip,2012-02-20 14:19:44
Centre St,Trip,2012-02-20 14:19:44
Lagrange St,Trip,2012-02-20 14:19:44
VFW Pky,Trip,2012-02-20 14:19:44
Baker St,Trip,2012-02-20 14:19:44
Capital St,Trip,2012-02-20 14:19:44
Berwick St,Trip,2012-02-20 14:19:44
Spring St,Trip,2012-02-20 14:19:44
River St,Trip,2012-02-20 14:19:44
Fairview Ave,Trip,2012-02-20 14:19:44
Alvarado Ave,Trip,2012-02-20 14:19:44
Turtle Pond Pky,Trip,2012-02-20 14:19:44
Vernon St,Trip,2012-02-20 14:19:44
Kovey Rd,Trip,2012-02-20 14:19:44
Enneking Pky,Trip,2012-02-20 14:19:44
Washington St,Trip,2012-02-20 14:19:44
Blue Ledge Dr,Trip,2012-02-20 14:19:44
Schubert St,Trip,2012-02-20 14:19:44
Liszt St,Trip,2012-02-20 14:19:44
Nikisch Ave,Trip,2012-02-20 14:19:44
Roslindale Ave,Trip,2012-02-20 14:19:44
W Roxbury Pky,Trip,2012-02-20 14:19:44
Colberg Ave,Trip,2012-02-20 14:19:44
Anawan Ave,Trip,2012-02-20 14:19:44
Beech St,Trip,2012-02-20 14:19:44
Belgrade Ave,Trip,2012-02-20 14:19:44
Rhoda St,Trip,2012-02-20 14:19:44
South St,Trip,2012-02-20 14:19:44
Arborway,Trip,2012-03-14 13:35:24
Pond St,Trip,2012-03-14 13:35:24
Dunster Rd,Trip,2012-03-14 13:35:24
Eliot St,Trip,2012-03-14 13:35:24
Burroughs St,Trip,2012-03-14 13:35:24
Jamaicaway,Trip,2012-03-14 13:35:24
Perkins St,Trip,2012-03-14 13:35:24
S Huntington Ave,Trip,2012-03-14 13:35:24
Pilgrim Rd,Trip,2012-03-14 13:35:24
Riverway,Trip,2012-03-14 13:35:24
Longwood Ave,Trip,2012-03-14 13:35:24
Park Dr,Trip,2012-03-14 13:35:24
Beacon St,Trip,2012-03-14 13:35:24
Mountfort St,Trip,2012-03-14 13:35:24
Commonwealth Ave,Trip,2012-03-14 13:35:24
Soldiers Field Rd,Trip,2012-03-14 13:35:24
Boston University Brg,Trip,2012-03-14 13:35:24
Rossmore Rd,Trip,2012-03-16 21:22:37
Washington St,Trip,2012-03-16 21:22:37
Crosby Sq,Trip,2012-03-16 21:22:37
Everett St,Trip,2012-03-16 21:22:37
Gordon St,Trip,2012-03-16 21:22:37
Green St,Trip,2012-03-16 21:22:37
Centre St,Trip,2012-03-16 21:22:37
Robinwood Ave,Trip,2012-03-16 21:22:37
S Huntington Ave,Trip,2012-03-16 21:22:37
Huntington Ave,Trip,2012-03-16 21:22:37
Longwood Ave,Trip,2012-03-16 21:22:37
Vancouver St,Trip,2012-03-16 21:22:37
Museum Rd,Trip,2012-03-16 21:22:37
Forsyth St,Trip,2012-03-16 21:22:37
Massachusetts Ave,Trip,2012-03-16 21:22:37
Cumberland St,Trip,2012-03-16 21:22:37
Garrison St,Trip,2012-03-16 21:22:37
St Botolph St,Trip,2012-03-16 21:22:37
Boylston St,Trip,2012-03-16 21:22:37
Tremont St,Trip,2012-03-20 18:37:39
Union Park,Trip,2012-03-20 18:37:39
Dwight St,Trip,2012-03-20 18:37:39
Castle Ct,Trip,2012-03-20 18:37:39
E Berkeley St,Trip,2012-03-20 18:37:39
Washington St,Trip,2012-03-20 18:37:39
Harrison Ave,Trip,2012-03-20 18:37:39
W 4th St,Trip,2012-03-20 18:37:39
Dorchester Ave,Trip,2012-03-20 18:37:39
W 6th St,Trip,2012-03-20 18:37:39
Old Colony Ave,Trip,2012-03-20 18:37:39
D St,Trip,2012-03-20 18:37:39
W 9th St,Trip,2012-03-20 18:37:39
Dorchester St,Trip,2012-03-20 18:37:39
Burke St,Trip,2012-03-20 18:37:39
E 8th St,Trip,2012-03-20 18:37:39
Mercer St,Trip,2012-03-20 18:37:39
G St,Trip,2012-03-20 18:37:39
H St,Trip,2012-03-20 18:37:39
K St,Trip,2012-03-20 18:37:39
L St,Trip,2012-03-20 18:37:39
N St,Trip,2012-03-20 18:37:39
Columbia Rd,Trip,2012-03-20 18:37:39
E 7th St,Trip,2012-03-20 18:37:39
P St,Trip,2012-03-20 18:37:39
E 6th St,Trip,2012-03-20 18:37:39
William J Day Blvd,Trip,2012-03-20 18:37:39
Day Blvd,Trip,2012-03-20 18:37:39
Farragut Rd,Trip,2012-03-20 18:37:39
Conley Marine Terminal,Trip,2012-03-20 18:37:39
Shore Rd,Trip,2012-03-20 18:37:39
Perkins St,Trip,2012-03-20 18:43:54
Independence Dr,Trip,2012-03-20 18:43:54
VFW Pky,Trip,2012-03-20 18:43:54
Newfield St,Trip,2012-03-20 18:43:54
Baker St,Trip,2012-03-20 18:43:54
Peter Parley Rd,Trip,2012-03-30 22:29:09
Washington St,Trip,2012-03-30 22:29:09
Cornwall St,Trip,2012-03-30 22:29:09
Brookside Ave,Trip,2012-03-30 22:29:09
Amory St,Trip,2012-03-30 22:29:09
Lawndale Ter,Trip,2012-03-30 22:29:09
Lamartine St,Trip,2012-03-30 22:29:09
Boylston St,Trip,2012-03-30 22:29:09
Centre St,Trip,2012-03-30 22:29:09
Columbus Ave,Trip,2012-03-30 22:29:09
Heath St,Trip,2012-03-30 22:29:09
New Heath St,Trip,2012-03-30 22:29:09
Terrace St,Trip,2012-03-30 22:29:09
Terrace Pl,Trip,2012-03-30 22:29:09
Elmwood St,Trip,2012-03-30 22:29:09
Station St,Trip,2012-03-30 22:29:09
Mindoro St,Trip,2012-03-30 22:29:09
Prentiss St,Trip,2012-03-30 22:29:09
Schroeder Plz,Trip,2012-03-30 22:29:09
Tremont St,Trip,2012-03-30 22:29:09
Ruggles St,Trip,2012-03-30 22:29:09
Parker St,Trip,2012-03-30 22:29:09
Huntington Ave,Trip,2012-03-30 22:29:09
Louis Prang St,Trip,2012-03-30 22:29:09
Evans Way,Trip,2012-03-30 22:29:09
Fenway,Trip,2012-03-30 22:29:09
Park Dr,Trip,2012-03-30 22:29:09
Brookline Ave,Trip,2012-03-30 22:29:09
Riverway,Trip,2012-03-30 22:29:09
St Marys St,Trip,2012-03-30 22:29:09
Autumn St,Trip,2012-03-30 22:29:09
Netherlands Rd,Trip,2012-03-30 22:29:09
N Harvard St,Trip,2012-04-03 08:43:45
Western Ave,Trip,2012-04-03 08:43:45
Franklin St,Trip,2012-04-03 08:43:45
Brentwood St,Trip,2012-04-03 08:43:45
Fern St,Trip,2012-04-03 08:43:45
Lincoln St,Trip,2012-04-03 08:43:45
Cambridge St,Trip,2012-04-03 08:43:45
Harvard Ave,Trip,2012-04-03 08:43:45
Brighton Ave,Trip,2012-04-03 08:43:45
Glenville Ave,Trip,2012-04-03 08:43:45
Long Ave,Trip,2012-04-03 08:43:45
Commonwealth Ave,Trip,2012-04-03 08:43:45
Allston St,Trip,2012-04-03 08:43:45
Boulevard Ter,Trip,2012-04-03 08:43:45
Vinal St,Trip,2012-04-03 08:43:45
Summit Ave,Trip,2012-04-03 08:43:45
Washington St,Trip,2012-04-03 08:43:45
Egremont Rd,Trip,2012-04-03 08:43:45
Mount Hood Rd,Trip,2012-04-03 08:43:45
Washington St,Trip,2012-04-04 11:38:47
State St,Trip,2012-04-04 11:38:47
Boston Pl,Trip,2012-04-04 11:38:47
Court St,Trip,2012-04-04 11:38:47
Center Plz,Trip,2012-04-04 11:38:47
New Sudbury St,Trip,2012-04-04 11:38:47
Cambridge St,Trip,2012-04-04 11:38:47
Temple St,Trip,2012-04-04 11:38:47
Hancock St,Trip,2012-04-04 11:38:47
Blossom St,Trip,2012-04-04 11:38:47
Anderson Pl,Trip,2012-04-04 11:38:47
Anderson St,Trip,2012-04-04 11:38:47
Strong Pl,Trip,2012-04-04 11:38:47
Grove St,Trip,2012-04-04 11:38:47
Lindall Pl,Trip,2012-04-04 11:38:47
Charles St,Trip,2012-04-04 11:38:47
Storrow Dr,Trip,2012-04-04 11:38:47
RT 28,Trip,2012-04-04 11:38:47
David G Mugar Way,Trip,2012-04-04 11:38:47
Charles River Sq,Trip,2012-04-04 11:38:47
Revere St,Trip,2012-04-04 11:38:47
Pinckney St,Trip,2012-04-04 11:38:47
Brimmer St,Trip,2012-04-04 11:38:47
Mt Vernon St,Trip,2012-04-04 11:38:47
Otis Pl,Trip,2012-04-04 11:38:47
Chestnut St,Trip,2012-04-04 11:38:47
Beaver Pl,Trip,2012-04-04 11:38:47
Beacon St,Trip,2012-04-04 11:38:47
Massachusetts Ave,Trip,2012-04-04 11:38:47
Bay State Rd,Trip,2012-04-04 11:38:47
Raleigh St,Trip,2012-04-04 11:38:47
Deerfield St,Trip,2012-04-04 11:38:47
University Rd,Trip,2012-04-04 11:38:47
Soldiers Field Rd,Trip,2012-04-04 11:38:47
Carruth St,Trip,2012-04-04 14:05:02
Gallivan Blvd,Trip,2012-04-04 14:05:02
Adams St,Trip,2012-04-04 14:05:02
Granville St,Trip,2012-04-04 14:05:02
Granite Ave,Trip,2012-04-04 14:05:02
Hill Top St,Trip,2012-04-04 14:05:02
Hallet St,Trip,2012-04-04 14:05:02
12,Trip,2012-04-04 14:05:02
I 93,Trip,2012-04-04 14:05:02
Neponset Ave,Trip,2012-04-04 14:05:02
Morrissey Blvd,Trip,2012-04-04 14:05:02
Neponset Brg,Trip,2012-04-04 14:05:02
Taylor St,Trip,2012-04-04 14:05:02
Water St,Trip,2012-04-04 14:05:02
Walnut St,Trip,2012-04-04 14:05:02
Ericsson St,Trip,2012-04-04 14:05:02
Lawley St,Trip,2012-04-04 14:05:02
Tenean St,Trip,2012-04-04 14:05:02
Conley St,Trip,2012-04-04 14:05:02
William T Morrissey Blvd,Trip,2012-04-04 14:05:02
Freeport St,Trip,2012-04-04 14:05:02
Avenue Louis Pasteur,Trip,2012-04-06 08:26:06
Park Dr,Trip,2012-04-06 08:26:06
Fenway,Trip,2012-04-06 08:26:06
Evans Way,Trip,2012-04-06 08:26:06
Boylston St,Trip,2012-04-06 08:26:06
Massachusetts Ave,Trip,2012-04-06 08:26:06
Newbury St,Trip,2012-04-06 08:26:06
Commonwealth Ave,Trip,2012-04-06 08:26:06
Marlborough St,Trip,2012-04-06 08:26:06
Beacon St,Trip,2012-04-06 08:26:06
Massachusetts Ave,Trip,2012-04-06 08:28:40
Beacon St,Trip,2012-04-06 08:28:40
Marlborough St,Trip,2012-04-06 08:28:40
Commonwealth Ave,Trip,2012-04-06 08:28:40
Newbury St,Trip,2012-04-06 08:28:40
Boylston St,Trip,2012-04-06 08:28:40
Fenway,Trip,2012-04-06 08:28:40
Evans Way,Trip,2012-04-06 08:28:40
Park Dr,Trip,2012-04-06 08:28:40
Avenue Louis Pasteur,Trip,2012-04-06 08:28:40
Longwood Ave,Trip,2012-04-06 08:28:40
Sigourney St,Trip,2012-04-10 22:38:10
Glen Rd,Trip,2012-04-10 22:38:10
Green St,Trip,2012-04-10 22:38:10
Centre St,Trip,2012-04-10 22:38:10
South St,Trip,2012-04-10 22:38:10
Bussey St,Trip,2012-04-10 22:38:10
Walter St,Trip,2012-04-10 22:38:10
Allandale St,Trip,2012-04-10 22:38:10
Wenham St,Trip,2012-04-12 13:10:54
Weld Hill St,Trip,2012-04-12 13:10:54
Hyde Park Ave,Trip,2012-04-12 13:10:54
Washington St,Trip,2012-04-12 13:10:54
Amory St,Trip,2012-04-12 13:10:54
Crosby Sq,Trip,2012-04-12 13:10:54
Call St,Trip,2012-04-12 13:10:54
Bishop St,Trip,2012-04-12 13:10:54
Everett St,Trip,2012-04-12 13:10:54
Gordon St,Trip,2012-04-12 13:10:54
Elm St,Trip,2012-04-12 13:10:54
Green St,Trip,2012-04-12 13:10:54
Lamartine St,Trip,2012-04-12 13:10:54
Chestnut Ave,Trip,2012-04-12 13:10:54
Centre St,Trip,2012-04-12 13:10:54
Columbus Ave,Trip,2012-04-12 13:10:54
Heath St,Trip,2012-04-12 13:10:54
New Heath St,Trip,2012-04-12 13:10:54
Terrace St,Trip,2012-04-12 13:10:54
Terrace Pl,Trip,2012-04-12 13:10:54
Tremont St,Trip,2012-04-12 13:10:54
Station St,Trip,2012-04-12 13:10:54
Mindoro St,Trip,2012-04-12 13:10:54
Prentiss St,Trip,2012-04-12 13:10:54
Schroeder Plz,Trip,2012-04-12 13:10:54
Ruggles St,Trip,2012-04-12 13:10:54
K St,Trip,2012-04-16 13:23:41
L St,Trip,2012-04-16 13:23:41
E 1st St,Trip,2012-04-16 13:23:41
Elkins St,Trip,2012-04-16 13:23:41
Summer St,Trip,2012-04-16 13:23:41
Congress St,Trip,2012-04-16 13:23:41
Atlantic Ave,Trip,2012-04-16 13:23:41
Federal St,Trip,2012-04-16 13:23:41
High St,Trip,2012-04-16 13:23:41
Washington St,Trip,2012-04-16 13:23:41
Winter St,Trip,2012-04-16 13:23:41
Tremont St,Trip,2012-04-16 13:23:41
Park St,Trip,2012-04-16 13:23:41
Beacon St,Trip,2012-04-16 13:23:41
Charles St,Trip,2012-04-16 13:23:41
Mount Vernon St,Trip,2012-04-16 13:23:41
Cambridge St,Trip,2012-04-16 13:23:41
David G Mugar Way,Trip,2012-04-16 13:23:41
Longfellow Brg,Trip,2012-04-16 13:23:41
Wallingford Rd,Trip,2012-04-19 11:39:47
Commonwealth Ave,Trip,2012-04-19 11:39:47
Chestnut Hill Ave,Trip,2012-04-19 11:39:47
Beacon St,Trip,2012-04-19 11:39:47
St Thomas More Rd,Trip,2012-04-19 11:39:47
Chesnut Hill Drwy,Trip,2012-04-19 11:39:47
Wade St,Trip,2012-04-19 11:39:47
Commonwealth Ave,Trip,2012-04-19 11:41:28
Chesnut Hill Drwy,Trip,2012-04-19 11:41:28
St Thomas More Rd,Trip,2012-04-19 11:41:28
Beacon St,Trip,2012-04-19 11:41:28
Chestnut Hill Ave,Trip,2012-04-19 11:41:28
Commonwealth Ave,Trip,2012-04-19 11:49:40
Fidelis Way,Trip,2012-04-19 11:49:40
Brighton Ave,Trip,2012-04-19 11:49:40
Dartmouth St,Trip,2012-04-19 11:49:40
Arlington St,Trip,2012-04-19 11:49:40
Boylston St,Trip,2012-04-19 11:49:40
Carver St,Trip,2012-04-19 11:49:40
Tremont St,Trip,2012-04-19 11:49:40
Beacon St,Trip,2012-04-19 11:49:40
Center Plz,Trip,2012-04-19 11:49:40
Cambridge St,Trip,2012-04-19 11:49:40
New Sudbury St,Trip,2012-04-19 11:49:40
Sudbury St,Trip,2012-04-19 11:49:40
Temple St,Trip,2012-04-19 11:49:40
David G Mugar Way,Trip,2012-04-19 11:49:40
Pinckney St,Trip,2012-04-19 11:49:40
Mt Vernon St,Trip,2012-04-19 11:49:40
Storrow Dr,Trip,2012-04-19 11:49:40
Hereford St,Trip,2012-04-19 11:49:40
Massachusetts Ave,Trip,2012-04-19 11:49:40
Raleigh St,Trip,2012-04-19 11:49:40
Bay State Rd,Trip,2012-04-19 11:49:40
Deerfield St,Trip,2012-04-19 11:49:40
Soldiers Field Rd,Trip,2012-04-19 11:49:40
Cambridge St,Trip,2012-04-29 17:53:05
RT 3,Trip,2012-04-29 17:53:05
David G Mugar Way,Trip,2012-04-29 17:53:05
Charles St,Trip,2012-04-29 17:53:05
Storrow Dr,Trip,2012-04-29 17:53:05
Pinckney St,Trip,2012-04-29 17:53:05
Mt Vernon St,Trip,2012-04-29 17:53:05
RT 28,Trip,2012-04-29 17:53:05
Otis Pl,Trip,2012-04-29 17:53:05
Beaver Pl,Trip,2012-04-29 17:53:05
Beacon St,Trip,2012-04-29 17:53:05
Massachusetts Ave,Trip,2012-04-29 17:53:05
Raleigh St,Trip,2012-04-29 17:53:05
Bay State Rd,Trip,2012-04-29 17:53:05
Soldiers Field Rd,Trip,2012-04-29 17:53:05
Harvard Way,Trip,2012-04-29 17:53:05
N Harvard St,Trip,2012-04-29 17:53:05
Eliot Brg,Trip,2012-04-29 17:53:05
Devonshire St,Trip,2012-05-01 20:28:04
Milk St,Trip,2012-05-01 20:28:04
Winthrop Sq,Trip,2012-05-01 20:28:04
Summer St,Trip,2012-05-01 20:28:04
High St,Trip,2012-05-01 20:28:04
Federal St,Trip,2012-05-01 20:28:04
Atlantic Ave,Trip,2012-05-01 20:28:04
Congress St,Trip,2012-05-01 20:28:04
Elkins St,Trip,2012-05-01 20:28:04
E 1st St,Trip,2012-05-01 20:28:04
O St,Trip,2012-05-01 20:28:04
City Point Ct,Trip,2012-05-01 20:28:04
Farragut Rd,Trip,2012-05-01 20:28:04
Conley Marine Terminal,Trip,2012-05-01 20:28:04
Shore Rd,Trip,2012-05-01 20:28:04
Day Blvd,Trip,2012-05-01 20:28:04
Columbia Rd,Trip,2012-05-01 20:28:04
William J Day Blvd,Trip,2012-05-01 20:28:04
P St,Trip,2012-05-01 20:28:04
Mt Vernon St,Trip,2012-05-01 20:28:04
Old Colony Ave,Trip,2012-05-01 20:28:04
Mount Vernon St,Trip,2012-05-01 20:28:04
Ocallaghan Way,Trip,2012-05-01 20:28:04
Old Harbor St,Trip,2012-05-01 20:28:04
RT 3,Trip,2012-05-05 18:39:33
Cambridge St,Trip,2012-05-05 18:39:33
David G Mugar Way,Trip,2012-05-05 18:39:33
Charles St,Trip,2012-05-05 18:39:33
Mount Vernon St,Trip,2012-05-05 18:39:33
Beacon St,Trip,2012-05-05 18:39:33
Arlington St,Trip,2012-05-05 18:39:33
Commonwealth Ave,Trip,2012-05-05 18:39:33
Charlesgate E,Trip,2012-05-05 18:39:33
Brookline Ave,Trip,2012-05-05 18:39:33
Yawkey Way,Trip,2012-05-05 18:39:33
Boylston St,Trip,2012-05-05 18:39:33
Riverway,Trip,2012-05-05 18:39:33
Park Dr,Trip,2012-05-05 18:39:33
Mountfort St,Trip,2012-05-05 18:39:33
Soldiers Field Rd,Trip,2012-05-05 18:39:33
Boston University Brg,Trip,2012-05-05 18:39:33
A St,Trip,2012-05-11 11:02:06
Summer St,Trip,2012-05-11 11:02:06
Congress St,Trip,2012-05-11 11:02:06
Atlantic Ave,Trip,2012-05-11 11:02:06
Purchase St,Trip,2012-05-11 11:02:06
Pearl St,Trip,2012-05-11 11:02:06
High St,Trip,2012-05-11 11:02:06
Franklin St,Trip,2012-05-11 11:02:06
Milk St,Trip,2012-05-11 11:02:06
Post Office Sq,Trip,2012-05-11 11:02:06
State St,Trip,2012-05-11 11:02:06
City Hall Plz,Trip,2012-05-11 11:02:06
Union St,Trip,2012-05-11 11:02:06
Sudbury St,Trip,2012-05-11 11:02:06
Friend St,Trip,2012-05-11 11:02:06
New Chardon St,Trip,2012-05-11 11:02:06
Cambridge St,Trip,2012-05-11 11:02:06
Temple St,Trip,2012-05-11 11:02:06
W Cedar St,Trip,2012-05-11 11:02:06
Charles St,Trip,2012-05-11 11:02:06
David G Mugar Way,Trip,2012-05-11 11:02:06
RT 3,Trip,2012-05-11 11:02:06
Dorchester Ave,Trip,2012-05-15 20:01:21
Columbia Rd,Trip,2012-05-15 20:01:21
Massachusetts Ave,Trip,2012-05-15 20:01:21
Beacon St,Trip,2012-05-15 20:03:21
Boylston St,Trip,2012-05-15 20:03:21
Westland Ave,Trip,2012-05-15 20:03:21
Massachusetts Ave,Trip,2012-05-15 20:03:21
Boston St,Trip,2012-05-15 20:03:21
Roseclair St,Trip,2012-05-15 20:03:21
Dorchester Ave,Trip,2012-05-15 20:03:21
Center Plz,Trip,2012-05-21 10:32:17
Cambridge St,Trip,2012-05-21 10:32:17
Blossom St,Trip,2012-05-21 10:32:17
Emerson Pl,Trip,2012-05-21 10:32:17
Charles St,Trip,2012-05-21 10:32:17
Storrow Dr,Trip,2012-05-21 10:32:17
RT 28,Trip,2012-05-21 10:32:17
RT 3,Trip,2012-05-21 10:32:17
David G Mugar Way,Trip,2012-05-21 10:32:17
Pinckney St,Trip,2012-05-21 10:32:17
Mt Vernon St,Trip,2012-05-21 10:32:17
Beacon St,Trip,2012-05-21 10:32:17
Hereford St,Trip,2012-05-21 10:32:17
Massachusetts Ave,Trip,2012-05-21 10:32:17
Raleigh St,Trip,2012-05-21 10:32:17
Bay State Rd,Trip,2012-05-21 10:32:17
Deerfield St,Trip,2012-05-21 10:32:17
Boston University Brg,Trip,2012-05-21 10:32:17
Soldiers Field Rd,Trip,2012-05-21 10:32:17
Western Ave,Trip,2012-05-21 10:32:17
Harvard Way,Trip,2012-05-21 10:32:17
N Harvard St,Trip,2012-05-21 10:32:17
Eliot Brg,Trip,2012-05-21 10:32:17
Cambridge St,Trip,2012-05-30 10:01:11
Brighton Ave,Trip,2012-05-30 10:01:11
Commonwealth Ave,Trip,2012-05-30 10:01:11
Beacon St,Trip,2012-05-30 10:01:11
Dartmouth St,Trip,2012-05-30 10:01:11
Arlington St,Trip,2012-05-30 10:01:11
Boylston St,Trip,2012-05-30 10:01:11
Carver St,Trip,2012-05-30 10:01:11
Washington St,Trip,2012-05-30 10:01:11
Essex St,Trip,2012-05-30 10:01:11
Chauncy St,Trip,2012-05-30 10:01:11
Kingston St,Trip,2012-05-30 10:01:11
Lincoln St,Trip,2012-05-30 10:01:11
South St,Trip,2012-05-30 10:01:11
Atlantic Ave,Trip,2012-05-30 10:01:11
Summer St,Trip,2012-05-30 10:01:11
Congress St,Trip,2012-05-30 10:01:11
Dorchester Ave,Trip,2012-05-30 10:01:11
Dorchester Ave,Trip,2012-05-30 10:05:35
Old Colony Ave,Trip,2012-05-30 10:05:35
W 6th St,Trip,2012-05-30 10:05:35
A St,Trip,2012-05-30 10:05:35
W 4th St,Trip,2012-05-30 10:05:35
E Berkeley St,Trip,2012-05-30 10:05:35
Harrison Ave,Trip,2012-05-30 10:05:35
Washington St,Trip,2012-05-30 10:05:35
Nassau St,Trip,2012-05-30 10:05:35
Bennet St,Trip,2012-05-30 10:05:35
Bennet St,Trip,2012-05-30 10:06:26
Harrison Ave,Trip,2012-05-30 10:06:26
Albany St,Trip,2012-05-30 10:06:26
Broadway Brg,Trip,2012-05-30 10:06:26
Foundry St,Trip,2012-05-30 10:06:26
Greenbaum St,Trip,2012-05-30 10:06:26
W Broadway,Trip,2012-05-30 10:06:26
Silver St,Trip,2012-05-30 10:06:26
W 4th St,Trip,2012-05-30 10:06:26
Dorchester Ave,Trip,2012-05-30 10:06:26
Dorchester St,Trip,2012-05-30 10:06:26
Massachusetts Ave,Trip,2012-06-24 17:01:38
Beacon St,Trip,2012-06-24 17:01:38
Marlborough St,Trip,2012-06-24 17:01:38
Commonwealth Ave,Trip,2012-06-24 17:01:38
Newbury St,Trip,2012-06-24 17:01:38
Boylston St,Trip,2012-06-24 17:01:38
Westland Ave,Trip,2012-06-24 17:01:38
Tremont St,Trip,2012-06-24 17:01:38
Washington St,Trip,2012-06-24 17:01:38
E Springfield St,Trip,2012-06-24 17:01:38
Worcester Sq,Trip,2012-06-24 17:01:38
E Concord St,Trip,2012-06-24 17:01:38
Harrison Ave,Trip,2012-06-24 17:01:38
E Brookline St,Trip,2012-06-24 17:01:38
E Berkeley St,Trip,2012-06-24 17:01:38
W 4th St,Trip,2012-06-24 17:01:38
Silver St,Trip,2012-06-24 17:01:38
W Broadway,Trip,2012-06-24 17:01:38
Dorchester Ave,Trip,2012-06-24 17:01:38
Gillette Park,Trip,2012-06-24 17:01:38
Seaverns Ave,Trip,2012-06-27 13:40:22
Elm St,Trip,2012-06-27 13:40:22
Green St,Trip,2012-06-27 13:40:22
Lamartine St,Trip,2012-06-27 13:40:22
Boylston St,Trip,2012-06-27 13:40:22
Centre St,Trip,2012-06-27 13:40:22
Columbus Ave,Trip,2012-06-27 13:40:22
Heath St,Trip,2012-06-27 13:40:22
New Heath St,Trip,2012-06-27 13:40:22
Terrace St,Trip,2012-06-27 13:40:22
Terrace Pl,Trip,2012-06-27 13:40:22
Elmwood St,Trip,2012-06-27 13:40:22
Gurney St,Trip,2012-06-27 13:40:22
King St,Trip,2012-06-27 13:40:22
New Dudley St,Trip,2012-06-27 13:40:22
Malcolm X Blvd,Trip,2012-06-27 13:40:22
Roxbury St,Trip,2012-06-27 13:40:22
Putnam Pl,Trip,2012-06-27 13:40:22
Washington St,Trip,2012-06-27 13:40:22
E Berkeley St,Trip,2012-06-27 13:40:22
Harrison Ave,Trip,2012-06-27 13:40:22
W 4th St,Trip,2012-06-27 13:40:22
A St,Trip,2012-06-27 13:40:22
W Broadway,Trip,2012-06-27 13:40:22
W 2nd St,Trip,2012-06-27 13:40:22
Sobin Park,Trip,2012-06-27 13:40:22
Channel Center St,Trip,2012-06-27 13:40:22
Cambridge St,Trip,2012-07-13 17:40:30
Charles St,Trip,2012-07-13 17:40:30
Revere St,Trip,2012-07-13 17:40:30
Pinckney St,Trip,2012-07-13 17:40:30
River Street Pl,Trip,2012-07-13 17:40:30
River St,Trip,2012-07-13 17:40:30
Mount Vernon St,Trip,2012-07-13 17:40:30
Chestnut St,Trip,2012-07-13 17:40:30
Byron St,Trip,2012-07-13 17:40:30
Brimmer St,Trip,2012-07-13 17:40:30
Beaver Pl,Trip,2012-07-13 17:40:30
Beaver St,Trip,2012-07-13 17:40:30
Beacon St,Trip,2012-07-13 17:40:30
Storrow Dr,Trip,2012-07-13 17:40:30
Hereford St,Trip,2012-07-13 17:40:30
Massachusetts Ave,Trip,2012-07-13 17:40:30
Raleigh St,Trip,2012-07-13 17:40:30
Deerfield St,Trip,2012-07-13 17:40:30
Bay State Rd,Trip,2012-07-13 17:40:30
Boston University Brg,Trip,2012-07-13 17:40:30
Soldiers Field Rd,Trip,2012-07-13 17:40:30
N Harvard St,Trip,2012-07-18 13:23:39
Soldiers Field Rd,Trip,2012-07-18 13:23:39
Harvard Way,Trip,2012-07-18 13:23:39
Western Ave,Trip,2012-07-18 13:23:39
Stuart St,Trip,2012-07-20 21:25:32
Berkeley St,Trip,2012-07-20 21:25:32
Boylston St,Trip,2012-07-20 21:25:32
Newbury St,Trip,2012-07-20 21:25:32
Commonwealth Ave,Trip,2012-07-20 21:25:32
Beacon St,Trip,2012-07-20 21:25:32
Storrow Dr,Trip,2012-07-20 21:25:32
Hereford St,Trip,2012-07-20 21:25:32
Massachusetts Ave,Trip,2012-07-20 21:25:32
Raleigh St,Trip,2012-07-20 21:25:32
Bay State Rd,Trip,2012-07-20 21:25:32
Deerfield St,Trip,2012-07-20 21:25:32
Boston University Brg,Trip,2012-07-20 21:25:32
Soldiers Field Rd,Trip,2012-07-20 21:25:32
Cambridge St,Trip,2012-07-20 21:25:32
