Start Calendar Date,Start Standard Time,Cad Agency Identifier,Measure By Cad Event Type Cad Event Type Code,Cad Event Type Case Number,Cad Event Type,Cad Event Number,Udo Event Location Full Street Address,Udosam Neighborhood,Latitude,Longitude
2015-02-25T00:00:00,02:58:14 AM,BPD,FIGHT,201,FIGHT,P150098221,40 BICKFORD ST,Jamaica Plain,42.32559029975363,-71.10130627506373
2015-02-25T00:00:00,03:04:23 AM,BPD,FIGHT,201,FIGHT,P150098229,40 BICKFORD ST,Jamaica Plain,42.32559029975363,-71.10130627506373
2015-02-25T00:00:00,03:06:12 PM,BPD,REQEP,201,Request EMS and BPD Response,P150099129,391 ADAMS ST,Dorchester,42.29575026906076,-71.05631561857012
2015-02-25T00:00:00,03:14:49 PM,BPD,TS,201,TRAFFIC STOP,P150099148,284 BUNKER HILL ST,Charlestown,42.38029318648245,-71.06540366534608
2015-02-25T00:00:00,03:18:42 PM,BPD,ARREST,201,ARREST REPORT,P150099155,800 BOYLSTON ST,Boston,42.348601979598754,-71.0827236133033
2015-02-25T00:00:00,03:18:42 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150099155,800 BOYLSTON ST,Boston,42.348601979598754,-71.0827236133033
2015-02-25T00:00:00,03:19:42 PM,BPD,ALARM,201,ALARM,P150099157,630 AMERICAN LEGION HWY,Roslindale,42.2851342966116,-71.1107747620448
2015-02-25T00:00:00,03:23:24 PM,BPD,ALARM,201,ALARM,P150099162,944 BENNINGTON ST,East Boston,42.3861647584979,-71.00839994230267
2015-02-25T00:00:00,03:28:13 PM,BPD,ALARM,201,ALARM,P150099169,21 BALFOUR ST,Roxbury,44.80939086900048,-65.16763099999963
2015-02-25T00:00:00,03:28:25 PM,BPD,POISON,201,POISONING / OVERDOSE,P150099173,363 ALBANY ST,South End,-33.969619980999596,25.625989797000443
2015-02-25T00:00:00,03:34:33 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150099186,500 BOYLSTON ST,Boston,42.35083279649746,-71.07450323513535
2015-02-25T00:00:00,03:37:22 AM,BPD,CD7,201,Escort Duty,P150098241,10 BROWNING AVE,Mattapan,42.267262299816366,-71.09459831915626
2015-02-25T00:00:00,03:43:37 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150099201,12 ALLSTON ST,Charlestown,42.38003853175394,-71.06384808462059
2015-02-25T00:00:00,03:44:16 AM,BPD,ROBBERY,201,ROBBERY,P150098244,720 ATLANTIC AVE,Boston,42.350495150531856,-71.05651392537652
2015-02-25T00:00:00,03:48:39 PM,BPD,ALARM,201,ALARM,P150099212,9 BOWDOIN AVE,Dorchester,42.30271811734832,-71.07675364106689
2015-02-25T00:00:00,03:55:12 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150099228,921 BOYLSTON ST,Boston,42.348176787329976,-71.08445894962
2015-02-25T00:00:00,04:00:16 AM,BPD,IVPER,201,INVESTIGATE PERSON,P150098262,99 CAUSEWAY ST,Boston,42.364926603780816,-71.06220496208852
2015-02-25T00:00:00,04:20:08 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150099268,921 BEACON ST,Fenway/Kenmore,50.206740038000476,-5.2872799419996
2015-02-25T00:00:00,04:24:00 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150099276,28 BALLOU AVE,Mattapan,42.267262299816366,-71.09459831915626
2015-02-25T00:00:00,04:39:53 PM,BPD,VAND,201,VANDALISM,P150099297,2 BROOKDALE ST,Roslindale,42.28683621681904,-71.1212708971334
2015-02-25T00:00:00,04:40:30 AM,BPD,ALARM,201,ALARM,P150098274,68 BAILEY ST,Dorchester,42.28448556255978,-71.06663891115602
2015-02-25T00:00:00,04:40:59 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150099300,1575 BLUE HILL AVE,Mattapan,42.26997026821442,-71.09379819413056
2015-02-25T00:00:00,04:42:27 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150099303,600 BLUE HILL AVE,Mattapan,42.267262299816366,-71.09459831915626
2015-02-25T00:00:00,04:46:13 PM,BPD,AB,201,ASSAULT AND BATTERY,P150099306,1030 BENNINGTON ST,East Boston,42.38716654749925,-71.00535941180658
2015-02-25T00:00:00,04:46:43 PM,BPD,SS,201,SUSPECT STOP,P150099307,66 BEACH ST,Boston,42.35117870993059,-71.05968243929232
2015-02-25T00:00:00,04:51:08 PM,BPD,IVPREM,201,INVESTIGATE PREMISE,P150099317,445 ADAMS ST,Dorchester,42.2942580644592,-71.05674887685836
2015-02-25T00:00:00,04:51:09 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150099315,91 CAUSEWAY ST,Boston,42.364926603780816,-71.06220496208852
2015-02-25T00:00:00,04:51:09 PM,BPD,REQP,201,Request BPD Response,P150099315,91 CAUSEWAY ST,Boston,42.364926603780816,-71.06220496208852
2015-02-25T00:00:00,05:08:04 AM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150098286,32 BURGOYNE ST,Dorchester,42.286578921680984,-71.05678730488938
2015-02-25T00:00:00,05:09:35 PM,BPD,ARREST,201,ARREST REPORT,P150099345,123 CAMBRIDGE ST,Charlestown,42.38222671539171,-71.08053312560247
2015-02-25T00:00:00,05:09:35 PM,BPD,TS,201,TRAFFIC STOP,P150099345,123 CAMBRIDGE ST,Charlestown,42.38222671539171,-71.08053312560247
2015-02-25T00:00:00,05:12:18 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150099355,53 BOARDMAN ST,East Boston,42.38857348288104,-71.00983141748509
2015-02-25T00:00:00,05:12:58 PM,BPD,CD24,201,209A Service,P150099354,1030 BENNINGTON ST,East Boston,42.38716654749925,-71.00535941180658
2015-02-25T00:00:00,05:13:44 PM,BPD,ALARM,201,ALARM,P150099357,25 AGNES AVE,Hyde Park,42.26272932909637,-71.1061149338563
2015-02-25T00:00:00,05:14:56 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150099358,53 BOARDMAN ST,East Boston,42.38857348288104,-71.00983141748509
2015-02-25T00:00:00,05:26:15 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150099380,15 ARLINGTON ST,Boston,42.3529149698511,-71.07124227720851
2015-02-25T00:00:00,05:34:23 PM,BPD,IVPREM,201,INVESTIGATE PREMISE,P150099392,45 BRAEBURN RD,Hyde Park,42.260331430752046,-71.12769371579151
2015-02-25T00:00:00,05:36:00 AM,BPD,ABAN,201,ABANDONED CALL  (P),P150098292,74 BRENT ST,Dorchester,42.28984597701134,-71.06755843197521
2015-02-25T00:00:00,05:37:22 AM,BPD,FIGHT,201,FIGHT,P150098293,648 ADAMS ST,Dorchester,42.2877591946322,-71.05492481432788
2015-02-25T00:00:00,05:49:59 PM,BPD,CD19,201,Walk and Talk,P150099413,800 BOYLSTON ST,Boston,42.348601979598754,-71.0827236133033
2015-02-25T00:00:00,05:50:51 PM,BPD,PKNIFE,201,PERSON WITH A KNIFE,P150099416,330 BEACON ST,Boston,42.35250898170523,-71.08342505841887
2015-02-25T00:00:00,05:55:12 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150099436,38 ABBOTSFORD ST,Roxbury,44.80939086900048,-65.16763099999963
2015-02-25T00:00:00,05:57:00 PM,BPD,ALARM,201,ALARM,P150099443,79 BLAKE ST,Hyde Park,42.267310802052975,-71.10608266977857
2015-02-25T00:00:00,06:01:42 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150099451,24 BROOKVIEW ST,Mattapan,42.267262299816366,-71.09459831915626
2015-02-25T00:00:00,06:19:54 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150099498,22 BRANCHFIELD ST,Dorchester,42.271824289860206,-71.06378701345909
2015-02-25T00:00:00,06:43:38 PM,BPD,TS,201,TRAFFIC STOP,P150099534,460 BLUE HILL AVE,Roxbury,38.55271384406973,-97.4274098542806
2015-02-25T00:00:00,06:48:15 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150099545,563 BOYLSTON ST,Boston,42.350436412211764,-71.07616712930877
2015-02-25T00:00:00,06:56:51 PM,BPD,LARCENY,201,LARCENY,P150099558,192 BORDER ST,East Boston,42.375066854652744,-71.03979641707019
2015-02-25T00:00:00,07:04:34 AM,BPD,DISTRB,201,DISTURBANCE,P150098340,1067 BLUE HILL AVE,Mattapan,42.267262299816366,-71.09459831915626
2015-02-25T00:00:00,07:05:54 AM,BPD,TS,201,TRAFFIC STOP,P150098341,430 BELGRADE AVE,Roxbury,42.28613272034988,-71.1494082692754
2015-02-25T00:00:00,07:07:14 AM,BPD,ALARM,201,ALARM,P150098344,15 BRIMMER ST,Boston,42.35823851209875,-71.07178500187553
2015-02-25T00:00:00,07:16:23 PM,BPD,ALARM,201,ALARM,P150099598,773 ADAMS ST,Dorchester,42.28368933519573,-71.05565536150493
2015-02-25T00:00:00,07:17:26 PM,BPD,DISTRB,201,DISTURBANCE,P150099603,690 AMERICAN LEGION HWY,Roslindale,42.283605218906814,-71.11304360497758
2015-02-25T00:00:00,07:19:35 PM,BPD,UNCONS,201,UNCONSCIOUS PERSON   (E) (F) (P),P150099607,793 BOYLSTON ST,Boston,42.34896610070609,-71.08148721456251
2015-02-25T00:00:00,07:19:45 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150099605,75 BICKFORD ST,Jamaica Plain,42.324143645813706,-71.10197248114429
2015-02-25T00:00:00,07:24:32 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150099617,19 BRADLEE ST,Dorchester,42.297286260753424,-71.07360791147511
2015-02-25T00:00:00,07:28:50 AM,BPD,FIGHT,201,FIGHT,P150098370,26 ANNUNCIATION RD,Mission Hill,42.33611239647104,-71.09330040768685
2015-02-25T00:00:00,07:34:54 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150099635,184 BOWDOIN ST,Dorchester,42.30458082914305,-71.06927500843409
2015-02-25T00:00:00,07:39:16 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150099643,80 BOYLSTON ST,Boston,42.31702951560078,-71.10511626370379
2015-02-25T00:00:00,07:45:33 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150099649,18 ARGYLE ST,Dorchester,42.28904398948964,-71.06592103992324
2015-02-25T00:00:00,07:57:25 AM,BPD,MISC,201,MISCELLANEOUS CALLS,P150098401,42 BEACON ST,Boston,42.25367469842968,-71.11606488728393
2015-02-25T00:00:00,08:03:12 PM,BPD,TS,201,TRAFFIC STOP,P150099671,33 ARCH ST,Boston,42.35618975485443,-71.05780782317169
2015-02-25T00:00:00,08:11:00 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150099687,585 BOYLSTON ST,Boston,42.35025665572118,-71.07684812833764
2015-02-25T00:00:00,08:19:32 AM,BPD,MISC,201,MISCELLANEOUS CALLS,P150098439,2 BUTTONWOOD ST,Dorchester,42.31905286429935,-71.055997588617
2015-02-25T00:00:00,08:25:07 PM,BPD,CD19,201,Walk and Talk,P150099705,650 AMERICAN LEGION HWY,Roslindale,42.284652277082046,-71.1115428127498
2015-02-25T00:00:00,08:31:59 AM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150098455,85 CAPEN ST,Dorchester,42.281459670328616,-71.07940619413972
2015-02-25T00:00:00,08:32:24 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150099720,20 ARION ST,Dorchester,42.31638994114394,-71.06689471791606
2015-02-25T00:00:00,08:34:06 PM,BPD,ARREST,201,ARREST REPORT,P150099721,460 BLUE HILL AVE,Roxbury,38.55271384406973,-97.4274098542806
2015-02-25T00:00:00,08:44:11 AM,BPD,ALARM,201,ALARM,P150098478,132 CANAL ST,Boston,42.364801504486934,-71.06043235516825
2015-02-25T00:00:00,08:45:38 AM,BPD,TESTBPD,,TEST CALL,P150098482,774 ALBANY ST,South End,-33.969619980999596,25.625989797000443
2015-02-25T00:00:00,08:46:56 AM,BPD,CD19,201,Walk and Talk,P150098486,800 BOYLSTON ST,Boston,42.348601979598754,-71.0827236133033
2015-02-25T00:00:00,08:48:41 AM,BPD,POISON,201,POISONING / OVERDOSE,P150098491,363 ALBANY ST,South End,-33.969619980999596,25.625989797000443
2015-02-25T00:00:00,08:52:13 AM,BPD,TESTBPD,,TEST CALL,P150098494,774 ALBANY ST,South End,-33.969619980999596,25.625989797000443
2015-02-25T00:00:00,09:14:31 PM,BPD,UNKEMS,201,UNABLE TO DETERMINE IF CONS/MOVING   (E) (F) (P),P150099782,699 BOYLSTON ST,Boston,42.34955971620906,-71.07937755073254
2015-02-25T00:00:00,09:25:51 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150099799,31 BRUNSWICK ST,Roxbury,44.80939086900048,-65.16763099999963
2015-02-25T00:00:00,09:31:58 AM,BPD,UNCONS,201,UNCONSCIOUS PERSON   (E) (F) (P),P150098562,429 BLUE HILL AVE,Roxbury,38.55271384406973,-97.4274098542806
2015-02-25T00:00:00,09:34:15 PM,BPD,FIGHT,201,FIGHT,P150099809,80 ANNUNCIATION RD,Mission Hill,42.33480506820041,-71.09393476967307
2015-02-25T00:00:00,09:39:16 AM,BPD,ALARM,201,ALARM,P150098575,102 BROAD ST,Boston,42.35723602702211,-71.0521512718629
2015-02-25T00:00:00,09:40:27 AM,BPD,DISTRB,201,DISTURBANCE,P150098578,944 BENNINGTON ST,East Boston,42.3861647584979,-71.00839994230267
2015-02-25T00:00:00,09:56:42 AM,BPD,ALARM,201,ALARM,P150098600,25 AMBROSE ST,Roxbury,42.32982091300585,-71.07759022370902
2015-02-25T00:00:00,09:57:38 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150099834,616 BLUE HILL AVE,Mattapan,42.267262299816366,-71.09459831915626
2015-02-25T00:00:00,09:59:37 PM,BPD,EDP,201,EMOTIONALLY DISTURBED PERSON,P150099837,703 BENNINGTON ST,East Boston,42.384583131607314,-71.012961015038
2015-02-25T00:00:00,10:04:39 AM,BPD,INVEST,201,INVESTIGATION,P150098613,102 BLOOMFIELD ST,Dorchester,42.298482329397075,-71.0702720562096
2015-02-25T00:00:00,10:07:00 AM,BPD,IVPER,201,INVESTIGATE PERSON,P150098621,402 ASHMONT ST,Dorchester,42.28789631606321,-71.05650920213714
2015-02-25T00:00:00,10:07:00 AM,BPD,MISC,201,MISCELLANEOUS CALLS,P150098621,402 ASHMONT ST,Dorchester,42.28789631606321,-71.05650920213714
2015-02-25T00:00:00,10:11:58 PM,BPD,REQP,201,Request BPD Response,P150099856,25 BELLEVUE ST,Dorchester,42.31105026685742,-71.06764485322657
2015-02-25T00:00:00,10:13:23 PM,BPD,BE,201,BREAKING AND ENTERING,P150099859,2 BUTTONWOOD ST,Dorchester,42.31905286429935,-71.055997588617
2015-02-25T00:00:00,10:20:10 AM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150098633,63R BOSTON ST,Dorchester,42.32637061001674,-71.05939286838537
2015-02-25T00:00:00,10:21:54 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150099871,551 BOYLSTON ST,Boston,42.35050670142425,-71.07589749547225
2015-02-25T00:00:00,10:22:06 AM,BPD,MISC,201,MISCELLANEOUS CALLS,P150098640,15 ARLINGTON ST,Boston,42.3529149698511,-71.07124227720851
2015-02-25T00:00:00,10:22:35 AM,BPD,LARCENY,201,LARCENY,P150098642,23 BEXLEY RD,Roslindale,42.287584048066435,-71.1254156548078
2015-02-25T00:00:00,10:22:49 AM,BPD,DISTRB,201,DISTURBANCE,P150098645,867 BOYLSTON ST,Boston,42.34849596931463,-71.08333777921433
2015-02-25T00:00:00,10:32:16 AM,BPD,IVPER,201,INVESTIGATE PERSON,P150098655,40 BOYLSTON ST,Boston,42.3523019559716,-71.06384232356356
2015-02-25T00:00:00,10:35:14 AM,BPD,IVPREM,201,INVESTIGATE PREMISE,P150098661,30 BLUE HILL AVE,Roxbury,42.3241908889994,-71.07574308997079
2015-02-25T00:00:00,10:37:13 AM,BPD,TS,201,TRAFFIC STOP,P150098662,797 AMERICAN LEGION HWY,Roslindale,42.28082091875149,-71.11622354657862
2015-02-25T00:00:00,10:37:38 AM,BPD,LARCENY,201,LARCENY,P150098663,25 BALSAM ST,Mattapan,42.267262299816366,-71.09459831915626
2015-02-25T00:00:00,10:40:14 AM,BPD,ABAN,201,ABANDONED CALL  (P),P150098666,33 ARCH ST,Boston,42.35618975485443,-71.05780782317169
2015-02-25T00:00:00,10:40:20 PM,BPD,UNCONS,201,UNCONSCIOUS PERSON   (E) (F) (P),P150099894,33 BLOSSOM ST,Boston,42.362599898467636,-71.06691315401804
2015-02-25T00:00:00,11:07:11 AM,BPD,TS,201,TRAFFIC STOP,P150098719,665 BOYLSTON ST,Boston,42.34975656611374,-71.0786479928098
2015-02-25T00:00:00,11:08:02 PM,BPD,LARCENY,201,LARCENY,P150099928,40 BOYLSTON ST,Boston,42.3523019559716,-71.06384232356356
2015-02-25T00:00:00,11:24:34 AM,BPD,LARCENY,201,LARCENY,P150098747,101 CANAL ST,Boston,42.36457587897473,-71.06008292358723
2015-02-25T00:00:00,11:28:14 AM,BPD,LARCENY,201,LARCENY,P150098750,90 ADAMS ST,Dorchester,42.305744009579485,-71.061619571785
2015-02-25T00:00:00,11:35:10 PM,BPD,ALARM,201,ALARM,P150099952,469 BLUE HILL AVE,Roxbury,38.55271384406973,-97.4274098542806
2015-02-25T00:00:00,12:05:49 AM,BPD,DISTRB,201,DISTURBANCE,P150098811,1595 BLUE HILL AVE,Mattapan,42.26922013290391,-71.09382815324585
2015-02-25T00:00:00,12:09:58 AM,BPD,CD35,201,License Check,P150098071,900 BOYLSTON ST,Boston,42.34807308200823,-71.08461220308988
2015-02-25T00:00:00,12:10:37 AM,BPD,CD19IV,201,Walk and Talk Invest,P150098823,700 AMERICAN LEGION HWY,Roslindale,42.283403510864446,-71.1133175672511
2015-02-25T00:00:00,12:16:17 AM,BPD,IVPER,201,INVESTIGATE PERSON,P150098085,19 CANAAN ST,Mattapan,42.27337526066083,-71.10345777175792
2015-02-25T00:00:00,12:23:26 AM,BPD,IVPER,201,INVESTIGATE PERSON,P150098852,256 BOSTON ST,Dorchester,42.320952977099296,-71.06129347581242
2015-02-25T00:00:00,12:23:48 AM,BPD,LARCENY,201,LARCENY,P150098848,555 AMORY ST,Jamaica Plain,42.30971203068674,-71.10753098566562
2015-02-25T00:00:00,12:30:24 AM,BPD,ALARM,201,ALARM,P150098102,679 CANTERBURY ST,Roslindale,42.28545693559022,-71.1098540882947
2015-02-25T00:00:00,12:31:47 AM,BPD,LARCENY,201,LARCENY,P150098859,101 CANAL ST,Boston,42.36457587897473,-71.06008292358723
2015-02-25T00:00:00,12:46:41 AM,BPD,INVEST,201,INVESTIGATION,P150098121,363 ALBANY ST,South End,-33.969619980999596,25.625989797000443
2015-02-25T00:00:00,12:59:34 AM,BPD,PRIOR,201,PRIOR EVENT,P150098902,666 BOYLSTON ST,Boston,42.34971409832809,-71.07859954453255
2015-02-26T00:00:00,01:03:00 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150100798,6 BEACON ST,Boston,42.25265492928264,-71.11778524449261
2015-02-26T00:00:00,01:08:24 PM,BPD,BE,201,BREAKING AND ENTERING,P150100812,33 ARMANDINE ST,Dorchester,42.28467684116441,-71.07244295487766
2015-02-26T00:00:00,01:13:38 PM,BPD,AB,201,ASSAULT AND BATTERY,P150100820,184 BORDER ST,East Boston,42.374947751138905,-71.03982646611769
2015-02-26T00:00:00,01:18:00 PM,BPD,CD19,201,Walk and Talk,P150100826,520 ALBANY ST,South End,-33.969619980999596,25.625989797000443
2015-02-26T00:00:00,01:19:31 PM,BPD,ARREST,201,ARREST REPORT,P150100835,6 CALDER ST,Mattapan,55.85124987400047,-3.5720299079995925
2015-02-26T00:00:00,01:19:31 PM,BPD,PKNIFE,201,PERSON WITH A KNIFE,P150100835,6 CALDER ST,Mattapan,55.85124987400047,-3.5720299079995925
2015-02-26T00:00:00,01:21:14 PM,BPD,CD9,201,Station Assignment,P150100833,76 ANNUNCIATION RD,Mission Hill,42.33474260488839,-71.09376756771826
2015-02-26T00:00:00,01:32:19 AM,BPD,ALARM,201,ALARM,P150100056,469 BLUE HILL AVE,Roxbury,38.55271384406973,-97.4274098542806
2015-02-26T00:00:00,01:33:26 AM,BPD,CD19,201,Walk and Talk,P150100058,334 BELGRADE AVE,Roslindale,42.28600184740844,-71.14561033245008
2015-02-26T00:00:00,01:56:01 PM,BPD,LARCENY,201,LARCENY,P150100890,800 BOYLSTON ST,Boston,42.348601979598754,-71.0827236133033
2015-02-26T00:00:00,01:56:31 AM,BPD,ALARM,201,ALARM,P150100079,625 AMERICAN LEGION HWY,Roslindale,42.28536360125031,-71.11071714787727
2015-02-26T00:00:00,02:03:31 PM,BPD,UNKEMS,201,UNABLE TO DETERMINE IF CONS/MOVING   (E) (F) (P),P150100900,73 BRADFIELD AVE,Roslindale,42.289894373127936,-71.14044486583708
2015-02-26T00:00:00,02:11:06 PM,BPD,DISTRB,201,DISTURBANCE,P150100905,8 BENTHAM RD,Dorchester,42.30324586290732,-71.06385845560243
2015-02-26T00:00:00,02:11:06 PM,BPD,UNK,201,UNKNOWN PROBLEM,P150100905,8 BENTHAM RD,Dorchester,42.30324586290732,-71.06385845560243
2015-02-26T00:00:00,02:16:35 PM,BPD,CD19,201,Walk and Talk,P150100915,39 BOYLSTON ST,Boston,42.31800313603702,-71.10852205115094
2015-02-26T00:00:00,02:22:09 PM,BPD,EDP,201,EMOTIONALLY DISTURBED PERSON,P150100931,939 BOYLSTON ST,Boston,42.34804657988684,-71.0849083399471
2015-02-26T00:00:00,02:32:52 PM,BPD,LARCENY,201,LARCENY,P150100955,1672 BLUE HILL AVE,Mattapan,42.267299328502304,-71.0936867105724
2015-02-26T00:00:00,02:35:42 PM,BPD,TS,201,TRAFFIC STOP,P150100957,234 AMORY ST,Jamaica Plain,42.3161468094288,-71.10350847283695
2015-02-26T00:00:00,02:39:53 AM,BPD,CD19,201,Walk and Talk,P150100113,330 BOWDOIN ST,Dorchester,42.30828844165933,-71.06488699673667
2015-02-26T00:00:00,02:42:57 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150100977,776 BOYLSTON ST,Boston,42.348852024402504,-71.08172343228978
2015-02-26T00:00:00,02:51:47 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150100999,2 BATTERY ST,Boston,42.36628998409657,-71.05265092529913
2015-02-26T00:00:00,02:58:04 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150101013,111 ALDRICH ST,Roslindale,42.28309245335515,-71.14283008913651
2015-02-26T00:00:00,02:59:46 PM,BPD,UNKEMS,201,UNABLE TO DETERMINE IF CONS/MOVING   (E) (F) (P),P150101017,994 BLUE HILL AVE,Mattapan,42.267262299816366,-71.09459831915626
2015-02-26T00:00:00,03:00:32 PM,BPD,CD16,201,Tagging,P150101016,50 BUNKER HILL ST,Charlestown,42.376730569861024,-71.05699093298438
2015-02-26T00:00:00,03:06:40 PM,BPD,CD8,,School Crossing,P150101027,20 CAROLINA AVE,Jamaica Plain,42.307745960708644,-71.11470648291703
2015-02-26T00:00:00,03:12:06 PM,BPD,FIGHT,201,FIGHT,P150101041,38 ANNUNCIATION RD,Mission Hill,42.33553521248115,-71.09274656200341
2015-02-26T00:00:00,03:43:33 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150101084,7 ALLSTATE RD,Dorchester,42.3254305423867,-71.06380613484441
2015-02-26T00:00:00,03:52:11 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150101100,839 ALBANY ST,Roxbury,42.331944593669164,-71.07583527227916
2015-02-26T00:00:00,03:54:54 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150101104,51 BLOSSOM ST,Boston,42.36305044082627,-71.06692352499988
2015-02-26T00:00:00,04:03:00 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150101115,86 ANNUNCIATION RD,Mission Hill,42.334898764067816,-71.09418557170596
2015-02-26T00:00:00,04:09:37 PM,BPD,UNKEMS,201,UNABLE TO DETERMINE IF CONS/MOVING   (E) (F) (P),P150101128,1618 BLUE HILL AVE,Mattapan,42.2686774082369,-71.09365300578077
2015-02-26T00:00:00,04:13:06 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150101136,22 BEECHWOOD ST,Dorchester,42.30552161892865,-71.07456084840362
2015-02-26T00:00:00,04:16:20 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150101141,222 CAMBRIDGE ST,Boston,42.360815958290914,-71.11794009335978
2015-02-26T00:00:00,04:47:40 AM,BPD,LARCENY,201,LARCENY,P150100150,720 ATLANTIC AVE,Boston,42.350495150531856,-71.05651392537652
2015-02-26T00:00:00,04:47:42 PM,BPD,EDP,201,EMOTIONALLY DISTURBED PERSON,P150101190,780 ALBANY ST,South End,-33.969619980999596,25.625989797000443
2015-02-26T00:00:00,04:51:43 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150101198,100 CAMBRIDGE ST,Boston,42.382382272924644,-71.07878511424082
2015-02-26T00:00:00,04:52:56 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150101197,815 BOYLSTON ST,Boston,42.34875638510022,-71.0823180100673
2015-02-26T00:00:00,05:05:15 PM,BPD,CD19,201,Walk and Talk,P150101221,162 BUNKER HILL ST,Charlestown,42.37834703199104,-71.06084656761419
2015-02-26T00:00:00,05:06:06 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150101224,12 ALGONQUIN ST,Dorchester,42.29771491001617,-71.07330601356085
2015-02-26T00:00:00,05:09:09 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150101232,1200 BENNINGTON ST,East Boston,42.38922712633189,-70.99810456287446
2015-02-26T00:00:00,05:16:06 PM,BPD,CD19,201,Walk and Talk,P150101244,120 BROOKWAY RD,Roslindale,42.29211932824552,-71.11996431709872
2015-02-26T00:00:00,05:18:22 PM,BPD,CD19,201,Walk and Talk,P150101248,300 BORDER ST,East Boston,42.37812220147953,-71.04001172106325
2015-02-26T00:00:00,05:27:47 AM,BPD,LARCENY,201,LARCENY,P150100165,27 ARBUTUS ST,Mattapan,42.267262299816366,-71.09459831915626
2015-02-26T00:00:00,05:45:58 AM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150100168,39 BEARSE AVE,Dorchester,42.27176437073024,-71.06246419436627
2015-02-26T00:00:00,05:46:18 PM,BPD,TS,201,TRAFFIC STOP,P150101298,895 BLUE HILL AVE,Mattapan,42.267262299816366,-71.09459831915626
2015-02-26T00:00:00,06:00:40 AM,BPD,CD8,,School Crossing,P150100172,235 BAKER ST,Roxbury,42.92446851750918,-72.26819233470769
2015-02-26T00:00:00,06:09:56 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150101363,1200 BENNINGTON ST,East Boston,42.38922712633189,-70.99810456287446
2015-02-26T00:00:00,06:21:27 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150101404,41 ALGONQUIN ST,Dorchester,42.297476387326526,-71.07554374534675
2015-02-26T00:00:00,06:23:11 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150101409,950 AMERICAN LEGION HWY,Hyde Park,-26.12547006199958,28.034169923000434
2015-02-26T00:00:00,06:35:11 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150101448,1 ASHBURTON PL,Boston,42.35915688088642,-71.06206204812423
2015-02-26T00:00:00,06:42:01 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150101464,1 ASHBURTON PL,Boston,42.35915688088642,-71.06206204812423
2015-02-26T00:00:00,06:52:36 PM,BPD,INVEST,201,INVESTIGATION,P150101497,505 BOYLSTON ST,Boston,42.350753543742144,-71.07500985472018
